user_id,email,password,role
1,alice.smith@mit.edu,hash1,researcher
2,bob.johnson@mit.edu,hash2,researcher
3,carol.williams@bu.edu,hash3,researcher
4,dave.brown@harvard.edu,hash4,researcher
5,eve.jones@bu.edu,hash5,researcher
6,frank.garcia@bu.edu,hash6,researcher
7,grace.miller@bu.edu,hash7,researcher
8,hank.davis@bu.edu,hash8,researcher
9,iris.wilson@bu.edu,hash9,researcher
10,jack.moore@mit.edu,hash10,researcher
11,karen.taylor@harvard.edu,hash11,researcher
12,leo.anderson@mit.edu,hash12,researcher
13,mia.thomas@bc.edu,hash13,both
14,noah.jackson@bc.edu,hash14,both
15,olivia.white@bu.edu,hash15,both
16,paul.harris15@bc.edu,hash16,participant
17,quinn.martin16@northeastern.edu,hash17,participant
18,rachel.thompson17@mit.edu,hash18,participant
19,sam.lee18@northeastern.edu,hash19,participant
20,tina.walker19@bc.edu,hash20,participant
21,uma.smith20@bc.edu,hash21,participant
22,victor.johnson21@mit.edu,hash22,participant
23,wendy.williams22@harvard.edu,hash23,participant
24,xander.brown23@northeastern.edu,hash24,participant
25,yara.jones24@mit.edu,hash25,participant
26,zoe.garcia25@mit.edu,hash26,participant
27,aaron.miller26@northeastern.edu,hash27,participant
28,beth.davis27@mit.edu,hash28,participant
29,chris.wilson28@bc.edu,hash29,participant
30,diana.moore29@harvard.edu,hash30,participant
31,eli.taylor30@bu.edu,hash31,participant
32,fiona.anderson31@bc.edu,hash32,participant
33,george.thomas32@bu.edu,hash33,participant
34,hannah.jackson33@northeastern.edu,hash34,participant
35,ian.white34@harvard.edu,hash35,participant
36,julia.harris35@northeastern.edu,hash36,participant
37,kevin.martin36@bu.edu,hash37,participant
38,laura.thompson37@harvard.edu,hash38,participant
39,mike.lee38@bc.edu,hash39,participant
40,nina.walker39@bu.edu,hash40,participant
41,alice.smith40@northeastern.edu,hash41,participant
42,bob.johnson41@mit.edu,hash42,participant
43,carol.williams42@harvard.edu,hash43,participant
44,dave.brown43@bc.edu,hash44,participant
45,eve.jones44@bu.edu,hash45,participant
46,frank.garcia45@northeastern.edu,hash46,participant
47,grace.miller46@bc.edu,hash47,participant
48,hank.davis47@mit.edu,hash48,participant
49,iris.wilson48@bc.edu,hash49,participant
50,jack.moore49@northeastern.edu,hash50,participant
